PreSens Measurement Studio 2,3.0.3.1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
06/25/2021,13:39:11,5,default,844428679,O5,17.436,min,174.175,μmol/L,Humid,19.394,deg,173479,µV,29.899,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134454.87,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:12,5,default,844428679,O5,17.456,min,174.151,μmol/L,Humid,19.393,deg,173416,µV,29.906,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134440.46,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:13,5,default,844428679,O5,17.469,min,174.050,μmol/L,Humid,19.399,deg,173362,µV,29.905,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134428.36,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:14,5,default,844428679,O5,17.486,min,174.101,μmol/L,Humid,19.394,deg,173350,µV,29.912,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134420.22,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:15,5,default,844428679,O5,17.502,min,174.140,μmol/L,Humid,19.397,deg,173328,µV,29.896,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134404.42,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:16,5,default,844428679,O5,17.519,min,174.101,μmol/L,Humid,19.397,deg,173316,µV,29.903,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134406.40,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:17,5,default,844428679,O5,17.535,min,174.062,μmol/L,Humid,19.395,deg,173311,µV,29.915,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134410.71,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:18,5,default,844428679,O5,17.555,min,174.167,μmol/L,Humid,19.393,deg,173296,µV,29.903,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134408.60,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:19,5,default,844428679,O5,17.570,min,174.191,μmol/L,Humid,19.391,deg,173265,µV,29.905,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134415.11,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:20,5,default,844428679,O5,17.586,min,174.132,μmol/L,Humid,19.393,deg,173256,µV,29.909,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134403.03,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:21,5,default,844428679,O5,17.604,min,174.129,μmol/L,Humid,19.395,deg,173258,µV,29.904,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134410.74,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:22,5,default,844428679,O5,17.622,min,174.241,μmol/L,Humid,19.395,deg,173268,µV,29.884,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134418.23,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:25,5,default,844428679,O5,17.661,min,174.212,μmol/L,Humid,19.396,deg,173323,µV,29.886,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134432.58,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:25,5,default,844428679,O5,17.669,min,174.272,μmol/L,Humid,19.394,deg,173260,µV,29.882,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134404.20,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:26,5,default,844428679,O5,17.686,min,174.120,μmol/L,Humid,19.395,deg,173263,µV,29.905,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134414.22,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:27,5,default,844428679,O5,17.702,min,174.111,μmol/L,Humid,19.396,deg,173258,µV,29.904,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134399.67,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:28,5,default,844428679,O5,17.719,min,174.068,μmol/L,Humid,19.397,deg,173255,µV,29.908,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134407.53,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:29,5,default,844428679,O5,17.737,min,174.159,μmol/L,Humid,19.395,deg,173258,µV,29.899,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134408.94,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:30,5,default,844428679,O5,17.753,min,174.091,μmol/L,Humid,19.400,deg,173249,µV,29.896,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134398.86,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:31,5,default,844428679,O5,17.769,min,174.119,μmol/L,Humid,19.398,deg,173247,µV,29.897,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134407.92,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:32,5,default,844428679,O5,17.786,min,174.257,μmol/L,Humid,19.393,deg,173246,µV,29.887,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134406.57,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:33,5,default,844428679,O5,17.804,min,174.115,μmol/L,Humid,19.398,deg,173252,µV,29.897,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134401.65,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:34,5,default,844428679,O5,17.819,min,174.163,μmol/L,Humid,19.397,deg,173246,µV,29.892,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134400.53,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:35,5,default,844428679,O5,17.837,min,174.291,μmol/L,Humid,19.396,deg,173241,µV,29.873,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134401.91,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:36,5,default,844428679,O5,17.858,min,174.056,μmol/L,Humid,19.398,deg,173246,µV,29.908,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134402.82,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
06/25/2021,13:39:37,5,default,844428679,O5,17.869,min,174.041,μmol/L,Humid,19.399,deg,173204,µV,29.907,°C,1013.000,hPa,41.0,pmil,0,49.774,deg,25.022,°C,100.000,%a.s.,19.574,deg,23.958,°C,1014.000,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,60.06,1,27.00,134385.81,SABD0001000008,AAV1.0.0.11,3.0.3.1703,PSt7-10,171011-005,6/21/2021 3:18:53 PM,1443-01,0,no battery,V
