Species.Fullname,Organism.ID,Blank ,Initial.Volume.ml,Pre.Dry.Burn,Post.Burn,AFDW
Muricea plantaginea,Mplan_1,,5,2.193,1.637,0.556
Muricea plantaginea,Mplan_2,,4,3.656,2.607,1.049
Muricea plantaginea,Mplan_3,,4,3.63,2.792,0.838
Muricea plantaginea,Mplan_4,,4,3.743,2.816,0.927
Muricea plantaginea,MplanBk_5,1,0,0,0,0
Muricea plantaginea,Mplan_6,,5,4.987,3.894,1.093
Muricea plantaginea,Mplan_7,,9,3.086,2.276,0.81
Muricea plantaginea,Mplan_8,,4,2.942,2.302,0.64
Muricea plantaginea,Mplan_9,,10,4.518,3.455,1.063
Muricea plantaginea,Mplan_10,,3,2.494,1.956,0.538
Pacifigorgia darwinii,Pdarw_1,,9,2.558,1.849,0.709
Pacifigorgia darwinii,Pdarw_2,,10,3.623,2.612,1.011
Pacifigorgia darwinii,Pdarw_3,,9,2.456,1.733,0.723
Pacifigorgia darwinii,Pdarw_4,,10,3.843,2.781,1.062
Pacifigorgia darwinii,Pdarw_5,,10,3.902,2.891,1.011
Pacifigorgia darwinii,Pdarw_6,,9,3.401,2.395,1.006
Pacifigorgia darwinii,Pdarw_7,,9,3.534,2.54,0.994
Pacifigorgia darwinii,PdarwBk_8,1,0,0,0,0
Pacifigorgia darwinii,Pdarw_9,,10,3.552,2.511,1.041
Pacifigorgia darwinii,Pdarw_10,,10,3.273,2.359,0.914
Tubastraea coccinea,Tcocc_1,,35,22.732,20.729,2.003
Tubastraea coccinea,Tcocc_2,,35,21.8,19.788,2.012
Tubastraea coccinea,Tcocc_3,,35,36.471,34.061,2.41
Tubastraea coccinea,TcoccBk_4,1,0,0,0,0
Tubastraea coccinea,Tcocc_5,,30,20.165,18.108,2.057
Tubastraea coccinea,Tcocc_6,,40,28.2,25.949,2.251
Tubastraea coccinea,Tcocc_7,,30,20.697,18.677,2.02
Tubastraea coccinea,Tcocc_8,,20,16.025,14.579,1.446
Tubastraea coccinea,Tcocc_9,,55,48.177,44.268,3.909
Tubastraea coccinea,Tcocc_10,,23,20.633,18.746,1.887
Bunodosoma grandis,Bgran_1,,25,0.475,0.063,0.412
Bunodosoma grandis,Bgran_2,,30,0.256,0.039,0.217
Bunodosoma grandis,Bgran_3,,30,0.608,0.08,0.528
Bunodosoma grandis,Bgran_4,,35,0.615,0.09,0.525
Bunodosoma grandis,BgranBk_5,1,0,0,0,0
Bunodosoma grandis,Bgran_6,,50,0.811,0.126,0.685
Bunodosoma grandis,Bgran_7,,45,0.569,0.086,0.483
Bunodosoma grandis,Bgran_8,,55,0.309,0.051,0.258
Bunodosoma grandis,Bgran_9,,40,0.956,0.118,0.838
Bunodosoma grandis,Bgran_10,,40,0.483,0.055,0.428
