Date,Cerro_mundo,,Date,Cerro_Tijeretas
2023-02-02,25.40,,2/2/23 0:04,26.4
2023-02-02,25.50,,2/2/23 0:14,26.4
2023-02-02,26.00,,2/2/23 0:24,26.4
2023-02-02,25.90,,2/2/23 0:34,26.4
2023-02-02,25.90,,2/2/23 0:44,26.4
2023-02-02,26.00,,2/2/23 0:54,26.2
2023-02-02,25.90,,2/2/23 1:04,26.4
2023-02-02,26.10,,2/2/23 1:14,26.4
2023-02-02,26.20,,2/2/23 1:24,26.1
2023-02-02,26.20,,2/2/23 1:34,26.4
2023-02-02,25.90,,2/2/23 1:44,26.4
2023-02-02,26.10,,2/2/23 1:54,26.4
2023-02-02,26.10,,2/2/23 2:04,25.9
2023-02-02,26.10,,2/2/23 2:14,26.2
2023-02-02,26.30,,2/2/23 2:24,26.4
2023-02-02,26.40,,2/2/23 2:34,26.4
2023-02-02,26.60,,2/2/23 2:44,26.3
2023-02-02,26.60,,2/2/23 2:54,26.3
2023-02-02,26.70,,2/2/23 3:04,26.3
2023-02-02,26.80,,2/2/23 3:14,26.3
2023-02-02,26.90,,2/2/23 3:24,26.3
2023-02-02,26.90,,2/2/23 3:34,26.1
2023-02-02,27.10,,2/2/23 3:44,26.1
2023-02-02,27.00,,2/2/23 3:54,26.2
2023-02-02,27.10,,2/2/23 4:04,26.1
2023-02-02,27.10,,2/2/23 4:14,26.2
2023-02-02,27.10,,2/2/23 4:24,26.2
2023-02-02,27.10,,2/2/23 4:34,25.9
2023-02-03,27.00,,2/2/23 4:44,25.7
2023-02-03,26.90,,2/2/23 4:54,26
2023-02-03,26.50,,2/2/23 5:04,25.9
2023-02-03,26.90,,2/2/23 5:14,26.1
2023-02-03,26.90,,2/2/23 5:24,26.2
2023-02-03,27.00,,2/2/23 5:34,26.2
2023-02-03,26.90,,2/2/23 5:44,25.9
2023-02-03,27.00,,2/2/23 5:54,25.5
2023-02-03,27.10,,2/2/23 6:04,25.7
2023-02-03,27.00,,2/2/23 6:14,25.7
2023-02-03,27.10,,2/2/23 6:24,25.9
2023-02-03,27.10,,2/2/23 6:34,25.8
2023-02-03,27.10,,2/2/23 6:44,26
2023-02-03,27.00,,2/2/23 6:54,25.8
2023-02-03,27.10,,2/2/23 7:04,25.8
2023-02-03,27.00,,2/2/23 7:14,25.7
2023-02-03,27.00,,2/2/23 7:24,25.6
2023-02-03,27.00,,2/2/23 7:34,25.9
2023-02-03,27.00,,2/2/23 7:44,26
2023-02-03,27.00,,2/2/23 7:54,25.5
2023-02-03,27.00,,2/2/23 8:04,25.2
2023-02-03,25.20,,2/2/23 8:14,25.3
2023-02-03,24.60,,2/2/23 8:24,25.6
2023-02-03,23.90,,2/2/23 8:34,25.8
2023-02-03,24.40,,2/2/23 8:44,26
2023-02-03,23.10,,2/2/23 8:54,26.1
2023-02-03,23.10,,2/2/23 9:04,26.3
2023-02-03,23.30,,2/2/23 9:14,26.4
2023-02-03,24.40,,2/2/23 9:24,26.4
2023-02-03,24.90,,2/2/23 9:34,26.5
2023-02-03,24.80,,2/2/23 9:44,26.6
2023-02-03,25.10,,2/2/23 9:54,26.5
2023-02-03,25.30,,2/2/23 10:04,26.5
2023-02-03,25.60,,2/2/23 10:14,26.5
2023-02-03,25.90,,2/2/23 10:24,26.5
2023-02-03,25.90,,2/2/23 10:34,26.5
2023-02-03,25.40,,2/2/23 10:44,26.5
2023-02-03,25.50,,2/2/23 10:54,26.6
2023-02-03,25.40,,2/2/23 11:04,26.5
2023-02-03,25.10,,2/2/23 11:14,26.5
2023-02-03,25.20,,2/2/23 11:24,26.5
2023-02-03,25.20,,2/2/23 11:34,26.5
2023-02-03,25.30,,2/2/23 11:44,26.4
2023-02-03,25.20,,2/2/23 11:54,26.4
2023-02-03,24.30,,2/2/23 12:04,26.3
2023-02-03,24.90,,2/2/23 12:14,26.3
2023-02-03,25.60,,2/2/23 12:24,26.7
2023-02-03,25.80,,2/2/23 12:34,26.9
2023-02-03,26.50,,2/2/23 12:44,26.9
2023-02-03,26.50,,2/2/23 12:54,26.9
2023-02-03,26.40,,2/2/23 13:04,26.9
2023-02-03,26.40,,2/2/23 13:14,26.8
2023-02-03,26.40,,2/2/23 13:24,26.8
2023-02-03,26.50,,2/2/23 13:34,26.8
2023-02-03,26.70,,2/2/23 13:44,26.9
2023-02-03,26.70,,2/2/23 13:54,26.9
2023-02-03,26.70,,2/2/23 14:04,26.9
2023-02-03,26.70,,2/2/23 14:14,26.8
2023-02-03,26.60,,2/2/23 14:24,26.9
2023-02-03,26.70,,2/2/23 14:34,26.8
2023-02-03,26.60,,2/2/23 14:44,26.8
2023-02-03,26.80,,2/2/23 14:54,26.8
2023-02-03,26.70,,2/2/23 15:04,26.8
2023-02-03,26.70,,2/2/23 15:14,26.8
2023-02-03,26.70,,2/2/23 15:24,26.9
2023-02-03,26.60,,2/2/23 15:34,26.9
2023-02-03,26.70,,2/2/23 15:44,26.8
2023-02-03,26.60,,2/2/23 15:54,26.9
2023-02-03,26.70,,2/2/23 16:04,26.8
2023-02-03,26.60,,2/2/23 16:14,26.8
2023-02-03,26.70,,2/2/23 16:24,26.8
2023-02-03,26.60,,2/2/23 16:34,26.9
2023-02-03,26.70,,2/2/23 16:44,26.5
2023-02-03,26.60,,2/2/23 16:54,26.6
2023-02-03,26.60,,2/2/23 17:04,26.7
2023-02-03,26.70,,2/2/23 17:14,26.7
2023-02-03,26.70,,2/2/23 17:24,26.7
2023-02-03,26.60,,2/2/23 17:34,26.6
2023-02-03,26.60,,2/2/23 17:44,26.6
2023-02-03,26.70,,2/2/23 17:54,26.6
2023-02-03,26.60,,2/2/23 18:04,26.7
2023-02-03,26.60,,2/2/23 18:14,25.9
2023-02-03,26.70,,2/2/23 18:24,25.9
2023-02-03,26.70,,2/2/23 18:34,23.6
2023-02-03,26.40,,2/2/23 18:44,23.9
2023-02-03,26.10,,2/2/23 18:54,22.9
2023-02-03,25.90,,2/2/23 19:04,24.3
2023-02-03,25.90,,2/2/23 19:14,22.7
2023-02-03,25.90,,2/2/23 19:24,23.3
2023-02-03,25.90,,2/2/23 19:34,24.1
2023-02-03,25.90,,2/2/23 19:44,23.4
2023-02-03,26.00,,2/2/23 19:54,26.3
2023-02-03,25.70,,2/2/23 20:04,27.1
2023-02-03,25.70,,2/2/23 20:14,27.4
2023-02-03,25.90,,2/2/23 20:24,27.5
2023-02-03,26.10,,2/2/23 20:34,27.6
2023-02-03,26.20,,2/2/23 20:44,27.7
2023-02-03,26.30,,2/2/23 20:54,27.6
2023-02-03,26.40,,2/2/23 21:04,27.6
2023-02-03,26.30,,2/2/23 21:14,27.6
2023-02-03,26.10,,2/2/23 21:24,27.1
2023-02-03,26.30,,2/2/23 21:34,27.4
2023-02-03,26.60,,2/2/23 21:44,27.5
2023-02-03,26.60,,2/2/23 21:54,26.8
2023-02-03,26.40,,2/2/23 22:04,26.4
2023-02-03,25.20,,2/2/23 22:14,26.6
2023-02-03,24.90,,2/2/23 22:24,26.8
2023-02-03,25.60,,2/2/23 22:34,26.2
2023-02-03,25.80,,2/2/23 22:44,26.1
2023-02-03,25.80,,2/2/23 22:54,26.2
2023-02-03,25.70,,2/2/23 23:04,26.4
2023-02-03,25.60,,2/2/23 23:14,26.6
2023-02-03,24.60,,2/2/23 23:24,26.9
2023-02-03,21.50,,2/2/23 23:34,27.1
2023-02-03,22.00,,2/2/23 23:44,27.2
2023-02-03,22.00,,2/2/23 23:54,27.3
2023-02-03,21.60,,2/3/23 0:04,27.2
2023-02-03,21.10,,2/3/23 0:14,26.9
2023-02-03,20.90,,2/3/23 0:24,27
2023-02-03,20.80,,2/3/23 0:34,26.9
2023-02-03,20.70,,2/3/23 0:44,26.9
2023-02-03,20.70,,2/3/23 0:54,27
2023-02-03,20.60,,2/3/23 1:04,27.1
2023-02-03,21.00,,2/3/23 1:14,27.1
2023-02-03,21.70,,2/3/23 1:24,27.2
2023-02-03,21.60,,2/3/23 1:34,27.1
2023-02-03,22.10,,2/3/23 1:44,27.2
2023-02-03,22.50,,2/3/23 1:54,27.2
2023-02-03,22.90,,2/3/23 2:04,27.2
2023-02-03,23.10,,2/3/23 2:14,27.2
2023-02-03,22.40,,2/3/23 2:24,27.3
2023-02-03,22.60,,2/3/23 2:34,27.1
2023-02-03,23.40,,2/3/23 2:44,26.6
2023-02-03,24.40,,2/3/23 2:54,27
2023-02-03,25.00,,2/3/23 3:04,26.9
2023-02-03,25.70,,2/3/23 3:14,27.1
2023-02-03,26.10,,2/3/23 3:24,27.1
2023-02-03,26.20,,2/3/23 3:34,25.8
2023-02-03,26.30,,2/3/23 3:44,26.8
2023-02-03,26.30,,2/3/23 3:54,26.9
2023-02-03,26.30,,2/3/23 4:04,27
2023-02-03,26.20,,2/3/23 4:14,26.9
2023-02-03,25.90,,2/3/23 4:24,27
2023-02-03,25.80,,2/3/23 4:34,26.9
2023-02-04,25.80,,2/3/23 4:44,26.4
2023-02-04,25.60,,2/3/23 4:54,26.1
2023-02-04,25.90,,2/3/23 5:04,25.5
2023-02-04,24.90,,2/3/23 5:14,25.7
2023-02-04,24.90,,2/3/23 5:24,25.8
2023-02-04,25.00,,2/3/23 5:34,26.4
2023-02-04,25.30,,2/3/23 5:44,26.9
2023-02-04,25.70,,2/3/23 5:54,26.1
2023-02-04,25.90,,2/3/23 6:04,25.9
2023-02-04,25.90,,2/3/23 6:14,26.3
2023-02-04,26.00,,2/3/23 6:24,26.9
2023-02-04,25.80,,2/3/23 6:34,26.7
2023-02-04,25.90,,2/3/23 6:44,27
2023-02-04,25.30,,2/3/23 6:54,25.3
2023-02-04,23.10,,2/3/23 7:04,26.4
2023-02-04,23.10,,2/3/23 7:14,26
2023-02-04,23.20,,2/3/23 7:24,26.9
2023-02-04,24.10,,2/3/23 7:34,26.9
2023-02-04,22.70,,2/3/23 7:44,26.9
2023-02-04,22.10,,2/3/23 7:54,26.9
2023-02-04,23.70,,2/3/23 8:04,26.9
2023-02-04,24.70,,2/3/23 8:14,26.9
2023-02-04,25.10,,2/3/23 8:24,27
2023-02-04,25.40,,2/3/23 8:34,26.9
2023-02-04,26.00,,2/3/23 8:44,26.9
2023-02-04,26.10,,2/3/23 8:54,26.9
2023-02-04,26.30,,2/3/23 9:04,26.7
2023-02-04,26.30,,2/3/23 9:14,26.6
2023-02-04,26.40,,2/3/23 9:24,26.7
2023-02-04,26.50,,2/3/23 9:34,26.6
2023-02-04,26.60,,2/3/23 9:44,26.8
2023-02-04,26.70,,2/3/23 9:54,26.7
2023-02-04,26.70,,2/3/23 10:04,26.7
2023-02-04,26.70,,2/3/23 10:14,26.7
2023-02-04,26.60,,2/3/23 10:24,26.7
2023-02-04,26.60,,2/3/23 10:34,26.7
2023-02-04,23.50,,2/3/23 10:44,26.7
2023-02-04,24.40,,2/3/23 10:54,26.7
2023-02-04,24.40,,2/3/23 11:04,26.7
2023-02-04,21.80,,2/3/23 11:14,26.7
2023-02-04,23.60,,2/3/23 11:24,26.6
2023-02-04,24.10,,2/3/23 11:34,26.7
2023-02-04,22.40,,2/3/23 11:44,26.7
2023-02-04,22.00,,2/3/23 11:54,26.6
2023-02-04,22.70,,2/3/23 12:04,26.7
2023-02-04,24.10,,2/3/23 12:14,26.6
2023-02-04,21.70,,2/3/23 12:24,26.6
2023-02-04,21.60,,2/3/23 12:34,26.6
2023-02-04,22.20,,2/3/23 12:44,26.7
2023-02-04,22.30,,2/3/23 12:54,26.6
2023-02-04,21.90,,2/3/23 13:04,26.6
2023-02-04,22.00,,2/3/23 13:14,26.6
2023-02-04,22.10,,2/3/23 13:24,26.6
2023-02-04,22.20,,2/3/23 13:34,26.6
2023-02-04,22.70,,2/3/23 13:44,26.6
2023-02-04,22.30,,2/3/23 13:54,26.6
2023-02-04,22.30,,2/3/23 14:04,26.6
2023-02-04,22.30,,2/3/23 14:14,26.6
2023-02-04,22.10,,2/3/23 14:24,26.6
2023-02-04,22.20,,2/3/23 14:34,26.6
2023-02-04,22.00,,2/3/23 14:44,26.6
2023-02-04,22.00,,2/3/23 14:54,26.6
2023-02-04,23.60,,2/3/23 15:04,26.6
2023-02-04,23.80,,2/3/23 15:14,26.6
2023-02-04,25.20,,2/3/23 15:24,26.6
2023-02-04,24.70,,2/3/23 15:34,26.6
2023-02-04,24.90,,2/3/23 15:44,26.7
2023-02-04,25.60,,2/3/23 15:54,26.6
2023-02-04,25.70,,2/3/23 16:04,26.6
2023-02-04,25.80,,2/3/23 16:14,26.5
2023-02-04,26.10,,2/3/23 16:24,26.5
2023-02-04,26.20,,2/3/23 16:34,26.2
