individual.ID,Species,E,r2,p,n_pts,Q10
Bgran_1,Bgran,0.4304,0.993,0.0003,5,1.766
Bgran_10,Bgran,0.6034,0.939,0.0064,5,2.117
Bgran_2,Bgran,0.3419,0.85,0.0257,5,1.473
Bgran_3,Bgran,0.2639,0.764,0.0525,5,1.427
Bgran_4,Bgran,0.2941,0.945,0.0056,5,1.492
Bgran_6,Bgran,0.4496,0.996,0.0001,5,1.775
Bgran_7,Bgran,0.4795,0.97,0.0022,5,1.906
Bgran_8,Bgran,0.2514,0.469,0.2018,5,1.395
Bgran_9,Bgran,0.3024,0.855,0.0246,5,1.568
Mplan_1,Mplan,0.501,0.698,0.0779,5,1.872
Mplan_10,Mplan,0.5685,0.663,0.0935,5,2.13
Mplan_2,Mplan,0.5683,0.864,0.0221,5,2.176
Mplan_3,Mplan,0.6841,0.946,0.0054,5,2.62
Mplan_4,Mplan,0.5997,0.837,0.0294,5,2.432
Mplan_6,Mplan,0.5958,0.925,0.0089,5,2.15
Mplan_7,Mplan,0.5609,0.814,0.0363,5,2.125
Mplan_8,Mplan,0.6658,0.798,0.0411,5,2.457
Mplan_9,Mplan,0.5977,0.875,0.0195,5,2.19
Pdarw_1,Pdarw,0.8566,0.716,0.1541,4,
Pdarw_10,Pdarw,0.8521,0.797,0.0416,5,2.896
Pdarw_2,Pdarw,0.8632,0.945,0.0056,5,2.758
Pdarw_3,Pdarw,0.7454,0.947,0.0053,5,2.434
Pdarw_4,Pdarw,0.7079,0.955,0.0041,5,2.299
Pdarw_5,Pdarw,0.9101,0.964,0.0029,5,2.99
Pdarw_6,Pdarw,0.7741,0.974,0.0018,5,2.572
Pdarw_7,Pdarw,0.8839,0.965,0.0028,5,2.935
Pdarw_9,Pdarw,0.7077,0.935,0.0073,5,2.287
Tcocc_1,Tcocc,0.4167,0.486,0.1911,5,1.476
Tcocc_10,Tcocc,0.4401,0.779,0.0473,5,1.642
Tcocc_2,Tcocc,0.3662,0.828,0.0319,5,1.552
Tcocc_3,Tcocc,0.2965,0.598,0.1248,5,1.349
Tcocc_5,Tcocc,0.3476,0.694,0.0796,5,1.411
Tcocc_6,Tcocc,0.3383,0.716,0.0708,5,1.482
Tcocc_7,Tcocc,0.3769,0.863,0.0224,5,1.505
Tcocc_8,Tcocc,0.289,0.445,0.219,5,1.296
Tcocc_9,Tcocc,0.2868,0.525,0.1663,5,1.325
