individual_ID,Species,n,delta_Exponential,delta_Gaussian,delta_Boltzmann,delta_Pawar,delta_SS_high,best_model,model_type
Bgran_1,Bgran,7,0.0,18.2,18.7,21.0,21.0,Exponential,Monotonic
Bgran_10,Bgran,7,2.3,0.0,13.0,13.2,13.9,Gaussian,Peaked
Bgran_2,Bgran,7,0.0,8.5,16.6,19.3,19.3,Exponential,Monotonic
Bgran_3,Bgran,7,0.0,5.2,19.0,13.5,13.5,Exponential,Monotonic
Bgran_4,Bgran,7,0.0,3.6,17.2,15.4,15.4,Exponential,Monotonic
Bgran_6,Bgran,7,0.0,1.8,17.3,15.6,15.6,Exponential,Monotonic
Bgran_7,Bgran,7,0.0,6.3,19.4,19.6,19.3,Exponential,Monotonic
Bgran_8,Bgran,7,0.0,7.9,3.6,20.4,20.4,Exponential,Monotonic
Bgran_9,Bgran,7,0.0,6.9,17.0,16.2,16.2,Exponential,Monotonic
Mplan_1,Mplan,7,0.0,7.1,20.9,20.8,20.8,Exponential,Monotonic
Mplan_10,Mplan,7,0.0,8.6,20.5,21.0,21.0,Exponential,Monotonic
Mplan_2,Mplan,7,0.0,5.5,17.9,16.4,16.4,Exponential,Monotonic
Mplan_3,Mplan,7,0.0,4.9,17.8,15.9,15.9,Exponential,Monotonic
Mplan_4,Mplan,7,0.0,8.0,21.0,21.0,21.0,Exponential,Monotonic
Mplan_6,Mplan,7,0.0,3.7,15.8,15.6,15.6,Exponential,Monotonic
Mplan_7,Mplan,7,0.0,7.7,20.0,20.6,20.6,Exponential,Monotonic
Mplan_8,Mplan,7,0.0,5.1,10.6,17.6,17.6,Exponential,Monotonic
Mplan_9,Mplan,7,0.0,8.8,21.2,21.0,21.0,Exponential,Monotonic
Pdarw_1,Pdarw,6,0.0,6.6,35.6,36.3,36.3,Exponential,Monotonic
Pdarw_10,Pdarw,7,0.0,3.3,9.1,14.5,14.5,Exponential,Monotonic
Pdarw_2,Pdarw,7,1.4,0.0,12.7,11.0,11.0,Gaussian,Peaked
Pdarw_3,Pdarw,7,2.0,0.0,16.2,10.9,10.9,Gaussian,Peaked
Pdarw_4,Pdarw,7,0.0,0.9,14.4,9.5,9.5,Exponential,Monotonic
Pdarw_5,Pdarw,7,1.2,0.0,6.1,11.5,11.5,Gaussian,Peaked
Pdarw_6,Pdarw,7,4.1,0.0,15.1,10.4,10.4,Gaussian,Peaked
Pdarw_7,Pdarw,7,0.0,1.2,9.8,14.1,14.1,Exponential,Monotonic
Pdarw_9,Pdarw,7,1.8,0.0,15.7,12.2,12.2,Gaussian,Peaked
Tcocc_1,Tcocc,8,0.0,4.9,12.8,13.2,14.1,Exponential,Monotonic
Tcocc_10,Tcocc,8,0.0,8.8,14.3,14.9,14.9,Exponential,Monotonic
Tcocc_2,Tcocc,8,0.0,9.3,13.5,14.9,14.9,Exponential,Monotonic
Tcocc_3,Tcocc,8,0.0,8.6,12.2,14.9,14.9,Exponential,Monotonic
Tcocc_5,Tcocc,8,0.0,6.6,15.1,14.9,14.9,Exponential,Monotonic
Tcocc_6,Tcocc,8,0.0,8.4,12.0,14.9,14.9,Exponential,Monotonic
Tcocc_7,Tcocc,8,0.0,9.8,14.6,15.0,14.9,Exponential,Monotonic
Tcocc_8,Tcocc,8,0.0,6.0,15.1,14.9,14.9,Exponential,Monotonic
Tcocc_9,Tcocc,8,0.0,6.5,15.2,14.9,14.9,Exponential,Monotonic
